,FILM,Fandango_Stars,Fandango_Ratingvalue,Fandango_votes,Fandango_Difference,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,year,title_urled,data
0,Avengers: Age of Ultron (2015),5.0,4.5,14846,0.5,3.5,4.5,3.5,3.5,4.0,1330,271107,14846,2015,avengers_age_of_ultron_2015,"('\n$444–495.2 million (gross)[2][3]\n$365 million (net)[2]\n', 'Walt Disney StudiosMotion Pictures')"
1,Cinderella (2015),5.0,4.5,12640,0.5,4.5,4.0,3.5,4.0,3.5,249,65709,12640,2015,cinderella_2015,"('$84.21-95 million[5][6]', 'Walt Disney StudiosMotion Pictures')"
2,Ant-Man (2015),5.0,4.5,12055,0.5,4.0,4.5,3.0,4.0,4.0,627,103660,12055,2015,ant_man_2015,"('$130–195 million[2][3][4]', 'Walt Disney StudiosMotion Pictures')"
3,Do You Believe? (2015),5.0,4.5,1793,0.5,1.0,4.0,1.0,2.5,2.5,31,3136,1793,2015,do_you_believe_2015,"('$2.3 million[2]', 'Pure Flix Entertainment')"
4,Hot Tub Time Machine 2 (2015),3.5,3.0,1021,0.5,0.5,1.5,1.5,1.5,2.5,88,19560,1021,2015,hot_tub_time_machine_2_2015,"('$14–18 million[4][5]', 'Paramount Pictures[1][2]')"
5,The Water Diviner (2015),4.5,4.0,397,0.5,3.0,3.0,2.5,3.5,3.5,34,39373,397,2015,the_water_diviner_2015,"('$22.5 million[3]', '\nEntertainment One  (Australia, Europe and Canada)\nUniversal Pictures (Australia)\n\nWarner Bros. Pictures (United States)\n')"
6,Irrational Man (2015),4.0,3.5,252,0.5,2.0,2.5,2.5,4.0,3.5,17,2680,252,2015,irrational_man_2015,"('$11 million[2]', 'Sony Pictures Classics')"
8,Shaun the Sheep Movie (2015),4.5,4.0,896,0.5,5.0,4.0,4.0,4.5,3.5,62,12227,896,2015,shaun_the_sheep_movie_2015,"('$25 million[6]', 'StudioCanal')"
9,Love & Mercy (2015),4.5,4.0,864,0.5,4.5,4.5,4.0,4.5,4.0,54,5367,864,2015,love_mercy_2015,"('$10 million[2]', 'LionsgateRoadside Attractions')"
10,Far From The Madding Crowd (2015),4.5,4.0,804,0.5,4.0,4.0,3.5,4.0,3.5,35,12129,804,2015,far_from_the_madding_crowd_2015,"('£12 million[3]', 'Fox Searchlight Pictures')"
11,Black Sea (2015),4.0,3.5,218,0.5,4.0,3.0,3.0,3.5,3.0,37,16547,218,2015,black_sea_2015,"(None, 'Focus Features (United States)Universal Pictures (United Kingdom)[1]Sierra/Affinity (International)[2]')"
15,Taken 3 (2015),4.5,4.1,6757,0.4,0.5,2.5,1.5,2.5,3.0,240,104235,6757,2015,taken_3_2015,"('$45 million[2][3]', 'EuropaCorp (France)20th Century Fox (International)')"
16,Ted 2 (2015),4.5,4.1,6437,0.4,2.5,3.0,2.5,3.5,3.5,197,49102,6437,2015,ted_2_2015,"('$68 million[2][3][4]', 'Universal Pictures')"
17,Southpaw (2015),5.0,4.6,5597,0.4,3.0,4.0,3.0,4.0,4.0,128,23561,5597,2015,southpaw_2015,"('$30 million[3]', 'The Weinstein Company')"
19,Pixels (2015),4.5,4.1,3886,0.4,1.0,2.5,1.5,2.5,3.0,246,19521,3886,2015,pixels_2015,"('$88–129 million[3][4]', 'Sony Pictures Releasing')"
20,"McFarland, USA (2015)",5.0,4.6,3364,0.4,4.0,4.5,3.0,3.5,4.0,59,13769,3364,2015,mcfarland_usa_2015,"('$17 million[1]', 'Walt Disney StudiosMotion Pictures')"
21,Insidious: Chapter 3 (2015),4.5,4.1,3276,0.4,3.0,3.0,2.5,3.5,3.0,115,25134,3276,2015,insidious_chapter_3_2015,"('$11 million[5]', '\nGramercy Pictures[2]\nFocus Features[2](United States)\nEntertainment One Films (Canada and United Kingdom)\nSony Pictures Releasing International(International)\n')"
22,The Man From U.N.C.L.E. (2015),4.5,4.1,2686,0.4,3.5,4.0,3.0,4.0,4.0,144,22104,2686,2015,the_man_from_u_n_c_l_e_2015,"('$75–84 million[2][3]', 'Warner Bros. Pictures')"
23,Run All Night (2015),4.5,4.1,2066,0.4,3.0,3.0,3.0,3.5,3.5,141,50438,2066,2015,run_all_night_2015,"('$50–61.6 million[2][3]', 'Warner Bros. Pictures')"
24,Trainwreck (2015),4.5,4.1,8381,0.4,4.5,3.5,4.0,3.0,3.5,169,27380,8381,2015,trainwreck_2015,"('$35 million[2]', 'Universal Pictures')"
26,Ex Machina (2015),4.5,4.1,3458,0.4,4.5,4.5,4.0,4.0,4.0,672,154499,3458,2015,ex_machina_2015,"('$15 million[4]', '\nA24 (United States)\nUniversal Pictures (International)\n')"
27,Still Alice (2015),4.5,4.1,1258,0.4,4.5,4.5,3.5,4.0,4.0,153,57123,1258,2015,still_alice_2015,"('$4 million', 'Sony Pictures Classics')"
29,The End of the Tour (2015),4.5,4.1,121,0.4,4.5,4.5,4.0,4.0,4.0,19,1320,121,2015,the_end_of_the_tour_2015,"(None, 'A24')"
30,Red Army (2015),4.5,4.1,54,0.4,5.0,4.5,4.0,3.5,4.0,11,2275,54,2015,red_army_2015,"(None, 'Sony Pictures Classics')"
31,When Marnie Was There (2015),4.5,4.1,46,0.4,4.5,4.5,3.5,3.0,4.0,29,4160,46,2015,when_marnie_was_there_2015,"('¥1.15 billion($10.5 million)', 'Toho')"
32,The Hunting Ground (2015),4.5,4.1,42,0.4,4.5,3.5,4.0,4.0,4.0,6,1196,42,2015,the_hunting_ground_2015,"(None, 'RADiUS-TWC')"
33,The Boy Next Door (2015),4.0,3.6,2800,0.4,0.5,2.0,1.5,3.0,2.5,75,19658,2800,2015,the_boy_next_door_2015,"('$4 million[3][4]', 'Universal Pictures[1]')"
34,Aloha (2015),3.5,3.1,2284,0.4,1.0,1.5,2.0,2.0,3.0,67,12255,2284,2015,aloha_2015,"('$37–52 million[3][4]', 'Sony Pictures Releasing(North America)20th Century Fox(International)')"
35,The Loft (2015),4.0,3.6,811,0.4,0.5,2.0,1.0,1.0,3.0,80,21319,811,2015,the_loft_2015,"('$14 million', '\nOpen Road Films (US)\nKinepolis Film Distribution (Belgium)\n')"
36,5 Flights Up (2015),4.0,3.6,79,0.4,2.5,2.5,3.0,3.5,3.0,6,2174,79,2015,5_flights_up_2015,"(None, None)"
37,Welcome to Me (2015),4.0,3.6,56,0.4,3.5,2.5,3.5,3.5,3.0,33,8301,56,2015,welcome_to_me_2015,"(None, 'Alchemy')"
38,Saint Laurent (2015),3.5,3.1,43,0.4,2.5,2.5,2.5,3.5,3.0,8,2196,43,2015,saint_laurent_2015,"('€8.7 million[2]', 'EuropaCorp Distribution')"
39,Maps to the Stars (2015),3.5,3.1,35,0.4,3.0,2.5,3.5,3.0,3.0,46,22440,35,2015,maps_to_the_stars_2015,"('$13 million[6]', '\nEntertainment One Films (Canada)\nLe Pacte (France)\nMFA+ Filmdistribution (Germany)\nFocus World (US)\n')"
40,I'll See You In My Dreams (2015),4.0,3.6,281,0.4,4.5,3.5,4.0,3.5,3.5,14,1151,281,2015,i_ll_see_you_in_my_dreams_2015,"('$1 million [2]', 'Bleecker Street')"
41,Timbuktu (2015),4.0,3.6,74,0.4,5.0,4.0,4.5,3.5,3.5,37,6246,74,2015,timbuktu_2015,"(None, 'Cohen Media Group')"
42,About Elly (2015),4.0,3.6,43,0.4,5.0,4.5,4.5,5.0,4.0,23,20659,43,2015,about_elly_2015,"('$1.35 million', 'Dreamlab Films')"
43,The Diary of a Teenage Girl (2015),4.0,3.6,38,0.4,5.0,4.0,4.5,3.0,3.5,18,1107,38,2015,the_diary_of_a_teenage_girl_2015,"('$2 million[3]', 'Sony Pictures Classics')"
44,Kingsman: The Secret Service (2015),4.5,4.2,15205,0.3,4.0,4.0,3.0,4.0,4.0,1054,272204,15205,2015,kingsman_the_secret_service_2015,"('$81-94 million[3][4][5]', '20th Century Fox')"
45,Tomorrowland (2015),4.0,3.7,8077,0.3,2.5,2.5,3.0,3.0,3.5,262,42937,8077,2015,tomorrowland_2015,"('$180–190 million[2]', 'Walt Disney StudiosMotion Pictures')"
46,The Divergent Series: Insurgent (2015),4.5,4.2,7123,0.3,1.5,3.0,2.0,2.5,3.0,206,89618,7123,2015,the_divergent_series_insurgent_2015,"('$110 million[2]', '\nLionsgate\n')"
48,Fantastic Four (2015),3.0,2.7,6288,0.3,0.5,1.0,1.5,1.5,2.0,421,39838,6288,2015,fantastic_four_2015,"('$120–155 million[2][3]', '20th Century Fox')"
49,Terminator Genisys (2015),4.5,4.2,6272,0.3,1.5,3.0,2.0,3.0,3.5,779,85585,6272,2015,terminator_genisys_2015,"('$155–158 million[2][3]', 'Paramount Pictures')"
50,Pitch Perfect 2 (2015),4.5,4.2,4577,0.3,3.5,3.5,3.0,3.0,3.5,192,56333,4577,2015,pitch_perfect_2_2015,"('$29–31 million[2][3]', 'Universal Pictures')"
51,Entourage (2015),4.5,4.2,4279,0.3,1.5,3.5,2.0,2.5,3.5,96,21914,4279,2015,entourage_2015,"('$27–39 million[2][3][4]', 'Warner Bros. Pictures')"
52,The Age of Adaline (2015),4.5,4.2,3325,0.3,2.5,3.5,2.5,3.5,3.5,100,45510,3325,2015,the_age_of_adaline_2015,"('$25 million[2]', 'Lionsgate')"
53,Hot Pursuit (2015),4.0,3.7,2618,0.3,0.5,2.0,1.5,2.0,2.5,78,17061,2618,2015,hot_pursuit_2015,"('$35 million[3]', 'Warner Bros. Pictures')"
54,The DUFF (2015),4.5,4.2,2273,0.3,3.5,3.5,3.0,3.0,3.5,69,33594,2273,2015,the_duff_2015,"('$8.5\xa0million[4]', '\nLionsgate\nCBS Films\n')"
55,Black or White (2015),4.5,4.2,1862,0.3,2.0,3.5,2.5,4.0,3.5,24,4857,1862,2015,black_or_white_2015,"('$9 million[1]', 'Relativity MediaIM Global')"
56,Project Almanac (2015),4.0,3.7,1834,0.3,1.5,2.5,2.5,2.5,3.0,95,40057,1834,2015,project_almanac_2015,"('$12 million[2]', 'Paramount Pictures')"
57,Ricki and the Flash (2015),4.0,3.7,1462,0.3,3.0,2.5,2.5,3.5,3.0,37,1769,1462,2015,ricki_and_the_flash_2015,"('$30 million[4][5]', 'Sony Pictures Releasing')"
58,Seventh Son (2015),3.5,3.2,1213,0.3,0.5,2.0,1.5,2.0,3.0,126,41177,1213,2015,seventh_son_2015,"('$95 million[4]', 'Universal Pictures')"
59,Mortdecai (2015),3.5,3.2,1196,0.3,0.5,1.5,1.5,1.5,3.0,144,31878,1196,2015,mortdecai_2015,"('£60 million[2]', 'Lionsgate')"
60,Unfinished Business (2015),3.5,3.2,821,0.3,0.5,1.5,1.5,2.0,2.5,39,14346,821,2015,unfinished_business_2015,"('$35 million[2]', '20th Century Fox')"
61,American Ultra (2015),4.0,3.7,638,0.3,2.5,2.5,2.5,3.5,3.5,42,3017,638,2015,american_ultra_2015,"('$28 million[2]', 'Lionsgate')"
62,True Story (2015),3.5,3.2,540,0.3,2.5,2.0,2.5,3.0,3.0,37,16069,540,2015,true_story_2015,"(None, 'Fox Searchlight Pictures')"
63,Child 44 (2015),4.0,3.7,308,0.3,1.5,2.0,2.0,2.5,3.0,73,19220,308,2015,child_44_2015,"('$50 million[3]', 'Summit EntertainmentLionsgate (United States)Entertainment One (United Kingdom)[2]Bontonfilm (Czech Republic)[2]Ro Image 2000 (Romania)[2]')"
64,Dark Places (2015),4.0,3.7,55,0.3,1.5,1.5,2.0,4.0,3.0,18,9856,55,2015,dark_places_2015,"('$20 million', '\nMars Distribution (France)\nEntertainment One (United Kingdom)\nA24 (United States)\n')"
66,The Gift (2015),4.0,3.7,2680,0.3,4.5,4.0,4.0,4.0,4.0,121,10891,2680,2015,the_gift_2015,"('$5 million[4][5]', 'STX Entertainment (United States)Roadshow Films (Australia)[1]')"
67,Unfriended (2015),3.0,2.7,2507,0.3,3.0,2.0,3.0,3.0,3.0,130,22348,2507,2015,unfriended_2015,"('$1 million[2]', 'Universal Pictures')"
68,Monkey Kingdom (2015),4.5,4.2,701,0.3,4.5,4.0,3.5,4.0,3.5,15,883,701,2015,monkey_kingdom_2015,"('$5–10 million[3]', 'Walt Disney Studios Motion Pictures')"
70,Seymour: An Introduction (2015),4.5,4.2,41,0.3,5.0,4.5,4.0,3.0,4.0,4,243,41,2015,seymour_an_introduction_2015,"(None, None)"
71,The Wrecking Crew (2015),4.5,4.2,38,0.3,4.5,4.0,3.5,3.5,4.0,4,732,38,2015,the_wrecking_crew_2015,"(None, 'Magnolia Pictures')"
72,American Sniper (2015),5.0,4.8,34085,0.2,3.5,4.5,3.5,3.5,3.5,850,251856,34085,2015,american_sniper_2015,"(None, None)"
73,Furious 7 (2015),5.0,4.8,33538,0.2,4.0,4.0,3.5,3.5,3.5,764,207211,33538,2015,furious_7_2015,"('$190 million[3][4]', 'Universal Pictures')"
75,San Andreas (2015),4.5,4.3,9749,0.2,2.5,3.0,2.0,3.0,3.5,199,45723,9749,2015,san_andreas_2015,"('$110\xa0million[2][3]', 'Warner Bros. Pictures')"
76,Straight Outta Compton (2015),5.0,4.8,8096,0.2,4.5,4.5,3.5,3.5,4.0,90,15982,8096,2015,straight_outta_compton_2015,"('$28–50 million[2][3][4]', 'Universal Pictures')"
