,movie,year,fandango,nr_metascore,nr_imdb,nr_tmeter,nr_audience,title_urled,data
0,10 Cloverfield Lane,2016,3.5,4.0,3.5,4.5,4.0,10_cloverfield_lane_2016,"('$13–15 million[2][3][4]', 'Paramount Pictures')"
1,13 Hours,2016,4.5,2.5,3.5,2.5,4.0,13_hours_2016,"('$50 million[2]', 'Paramount Pictures')"
2,A Cure for Wellness,2016,3.0,2.5,3.5,2.0,2.5,a_cure_for_wellness_2016,"('$40 million[2]', '20th Century Fox')"
4,A Hologram for the King,2016,3.0,3.0,3.0,3.5,3.0,a_hologram_for_the_king_2016,"('$35 million[4][5]', '\nLionsgate\nRoadside Attractions\nSaban Films (United States)\nX-Verleih (Germany)[1]\nCinépolis Distribución (Mexico)[1]\n')"
5,A Monster Calls,2016,4.0,4.0,4.0,4.5,4.0,a_monster_calls_2016,"('$43 million[4]', '\nUniversal Pictures (Spain)\nEntertainment One Films (United Kingdom and Australia)\nFocus Features (United States)\nLionsgate (International)[1]\n')"
6,A Street Cat Named Bob,2016,4.5,2.5,3.5,4.0,4.0,a_street_cat_named_bob_2016,"('$8 million[2]', 'Sony Pictures Releasing International')"
7,Alice Through the Looking Glass,2016,4.0,1.5,3.0,1.5,2.5,alice_through_the_looking_glass_2016,"('$170 million[2]', 'Walt Disney StudiosMotion Pictures')"
8,Allied,2016,4.0,3.0,3.5,3.0,3.5,allied_2016,"('$85–113 million[2][3]', 'Paramount Pictures')"
9,Amateur Night,2016,3.5,2.0,2.5,0.0,1.5,amateur_night_2016,"(None, 'Cinedigm')"
10,Anthropoid,2016,4.0,3.0,3.5,3.5,3.5,anthropoid_2016,"('$9 million[4]', 'Falcon (Czech Republic)[2]Icon Film Distribution (United Kingdom)[2]')"
11,Approaching the Unknown,2016,3.5,2.5,2.5,2.0,1.0,approaching_the_unknown_2016,"('$1.3 million[4]', 'Vertical Entertainment')"
12,Arrival,2016,4.0,4.0,4.0,4.5,4.0,arrival_2016,"('$47 million[3]', '\nParamount Pictures (North America)\nSony Pictures Releasing International[1]\nStage 6 Films[1](International)\n')"
14,Assassin's Creed,2016,4.0,2.0,3.0,1.0,2.5,assassin_s_creed_2016,"('$125 million[8][9]', '20th Century Fox[1]')"
15,Bad Moms,2016,4.5,3.0,3.0,3.0,3.0,bad_moms_2016,"('$20 million [2]', 'STX Entertainment')"
16,Bad Santa 2,2016,3.5,2.0,3.0,1.0,2.0,bad_santa_2_2016,"('$26 million[1]', 'Broad Green Pictures (United States and Canada)Entertainment One (United Kingdom)[1]')"
17,Barbershop: The Next Cut,2016,4.5,3.5,3.0,4.5,3.5,barbershop_the_next_cut_2016,"('$20 million[2]', 'Warner Bros. Pictures')"
18,Batman V Superman: Dawn of Justice,2016,4.0,2.0,3.5,1.5,3.0,batman_v_superman_dawn_of_justice_2016,"('$250–300 million[2][3]', 'Warner Bros. Pictures')"
21,Before the Flood,2016,3.5,3.0,4.0,3.5,4.0,before_the_flood_2016,"('$24 million[1]', 'Lionsgate')"
22,Ben-Hur,2016,4.0,2.0,3.0,1.0,3.0,ben_hur_2016,"('$100 million[1]', '\nParamount Pictures\nMetro-Goldwyn-Mayer\n')"
24,Blair Witch,2016,3.0,2.5,2.5,2.0,1.5,blair_witch_2016,"('$200,000–500,000[2]', 'Artisan Entertainment')"
25,Bleed for This,2016,4.0,3.0,3.5,3.5,3.5,bleed_for_this_2016,"('$16 million[3]', '\nOpen Road Films (United States)\nSony Pictures Releasing International[1]\nStage 6 Films[1] (International)\n')"
26,Blood Father,2016,4.0,3.5,3.0,4.5,3.0,blood_father_2016,"('$15 million[citation needed]', 'SND Films')"
27,Bridget Jones's Baby,2016,4.0,3.0,3.5,4.0,3.5,bridget_jones_s_baby_2016,"('$35 million[1]', 'Universal Pictures  (International)StudioCanal (France)[1]')"
28,Busanhaeng,2016,4.5,3.5,4.0,5.0,4.5,busanhaeng_2016,"('$8.5 million[2]', 'Next Entertainment World')"
29,Cabin Fever,2016,4.0,0.5,2.0,0.0,0.5,cabin_fever_2016,"('$1.5 million[1]', '\nLions Gate Films\nBlack Sky Entertainment\n')"
30,Cafe Society,2016,3.5,3.0,3.5,3.5,3.0,cafe_society_2016,"('$30\xa0million[3]', '\nAmazon Studios\nLionsgate\n')"
31,Captain America: Civil War,2016,4.5,4.0,4.0,4.5,4.5,captain_america_civil_war_2016,"('$250\xa0million[3][4][5]', 'Walt Disney StudiosMotion Pictures')"
32,Captain Fantastic,2016,4.0,3.5,4.0,4.0,4.0,captain_fantastic_2016,"('$5 million[3]', '\nBleecker Street (United States)\nEntertainment One (International)[1]\n')"
33,Cell,2016,3.0,2.0,2.0,0.5,1.0,cell_2016,"(None, None)"
34,Central Intelligence,2016,4.5,2.5,3.0,3.5,3.0,central_intelligence_2016,"('$50\xa0million[2]', '\nWarner Bros. Pictures (North America)\nUniversal Pictures (International)\n')"
35,Collateral Beauty,2016,4.0,1.0,3.5,0.5,3.5,collateral_beauty_2016,"('$36–40.3 million[2][3]', 'Warner Bros. Pictures')"
36,Collide,2016,3.5,1.5,3.0,1.0,2.0,collide_2016,"('$21.5-29.2 million[2][3]', 'Open Road Films (United States)Univesum Film (Germany)[1]')"
37,Come and Find Me,2016,4.0,2.5,3.0,3.5,1.5,come_and_find_me_2016,"(None, 'Saban Films')"
38,Criminal,2016,4.0,2.0,3.0,1.5,2.5,criminal_2016,"('$31.5 million[3]', 'Lionsgate[1]')"
